n,mae_micro,rmse_micro,r2_micro,bias_true_minus_pred,y_true_mean,y_pred_mean,y_true_min,y_true_max,nmae_by_range,coverage95_micro,mean_pred_std,subset,grouping,feature_mode,include_species_feature,model,n_folds,mae_macro_lodo,mae_macro_lodo_std
66,2.5758951915927937,3.0285710094588243,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,diet_name,FULL,True,Dummy_SpeciesMean,11,2.5758951915927937,0.7542549738763293
66,2.376334216711762,2.909688895299732,0.8833092045372174,-0.06567862417795045,36.96963696845028,37.03531559262823,22.677020960046544,49.74165607410812,0.08780218934032939,0.9545454545454546,3.1265544315907263,main_only,diet_name,FULL,True,GP_Compuesto_NoARD,11,2.3763342167117623,0.8640041150826259
66,8.431032902899334,8.916949394181591,-0.09591303120653416,6.728624391667616e-15,36.96963696845028,36.96963696845028,22.677020960046544,49.74165607410812,0.3115147448826659,,,main_only,species_diet,REDUCED,False,Dummy_GlobalMean,22,8.431032902899332,2.6915797713359213
66,2.5758951915927937,3.0285710094588247,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,species_diet,REDUCED,False,Dummy_SpeciesMean,22,2.575895191592794,1.2703428989392491
66,4.894669913103336,5.881147748134811,0.5232752855882503,-0.011635288581010733,36.96963696845028,36.98127225703129,22.677020960046544,49.74165607410812,0.18085113257485907,0.6212121212121212,3.2324681307806444,main_only,species_diet,REDUCED,False,GP_Compuesto_NoARD,22,4.8946699131033355,3.1028273564505984
66,8.431032902899334,8.916949394181591,-0.09591303120653416,6.728624391667616e-15,36.96963696845028,36.96963696845028,22.677020960046544,49.74165607410812,0.3115147448826659,,,main_only,species_diet,REDUCED,True,Dummy_GlobalMean,22,8.431032902899332,2.6915797713359213
66,2.5758951915927937,3.0285710094588247,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,species_diet,REDUCED,True,Dummy_SpeciesMean,22,2.575895191592794,1.2703428989392491
66,2.1903997055376507,2.701763334670758,0.8993907076258085,0.01621723232335152,36.96963696845028,36.953419736126925,22.677020960046544,49.74165607410812,0.08093217205058925,0.9696969696969697,2.91060426464744,main_only,species_diet,REDUCED,True,GP_Compuesto_NoARD,22,2.190399705537651,1.2763588537294983
66,8.431032902899334,8.916949394181591,-0.09591303120653416,6.728624391667616e-15,36.96963696845028,36.96963696845028,22.677020960046544,49.74165607410812,0.3115147448826659,,,main_only,species_diet,FULL,False,Dummy_GlobalMean,22,8.431032902899332,2.6915797713359213
66,2.5758951915927937,3.0285710094588247,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,species_diet,FULL,False,Dummy_SpeciesMean,22,2.575895191592794,1.2703428989392491
66,4.67315326724378,5.672401778629609,0.5565165103158828,0.013423944522750387,36.96963696845028,36.956213023927525,22.677020960046544,49.74165607410812,0.17266640571909347,0.696969696969697,2.9809835707659293,main_only,species_diet,FULL,False,GP_Compuesto_NoARD,22,4.67315326724378,3.079320118689843
66,8.431032902899334,8.916949394181591,-0.09591303120653416,6.728624391667616e-15,36.96963696845028,36.96963696845028,22.677020960046544,49.74165607410812,0.3115147448826659,,,main_only,species_diet,FULL,True,Dummy_GlobalMean,22,8.431032902899332,2.6915797713359213
66,2.5758951915927937,3.0285710094588247,0.8735790618540007,4.844609562000683e-16,36.96963696845028,36.96963696845029,22.677020960046544,49.74165607410812,0.09517568519719201,,,main_only,species_diet,FULL,True,Dummy_SpeciesMean,22,2.575895191592794,1.2703428989392491
66,2.7484653704551985,3.368650475988654,0.8435932863600253,0.005540519151907227,36.96963696845028,36.96409644929838,22.677020960046544,49.74165607410812,0.10155190930422774,0.9393939393939394,2.9509289546172717,main_only,species_diet,FULL,True,GP_Compuesto_NoARD,22,2.7484653704551985,1.7197961688689634
89,7.035844743280088,7.87313593135027,-0.015988087792039307,-0.012741533043277926,37.2977420215474,37.31048355459068,22.677020960046544,53.591,0.22759427811563532,,,all_rows,diet_name,REDUCED,False,Dummy_GlobalMean,19,6.57094679106763,3.1457178143718014
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.2977420215474,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,diet_name,REDUCED,False,Dummy_SpeciesMean,19,4.26564560833166,2.779705163063569
89,7.093462673362806,7.843809950295738,-0.0084334469184566,0.6260510895736539,37.2977420215474,36.67169093197375,22.677020960046544,53.591,0.22945809286456337,0.8089887640449438,5.244532189289794,all_rows,diet_name,REDUCED,False,GP_Compuesto_NoARD,19,7.013334761691707,2.885731135657841
89,7.035844743280088,7.87313593135027,-0.015988087792039307,-0.012741533043277926,37.2977420215474,37.31048355459068,22.677020960046544,53.591,0.22759427811563532,,,all_rows,diet_name,REDUCED,True,Dummy_GlobalMean,19,6.57094679106763,3.1457178143718014
89,3.7560030795994037,4.695673277982396,0.6385994082743749,-0.003817692064164095,37.2977420215474,37.30155971361157,22.677020960046544,53.591,0.12149853225769214,,,all_rows,diet_name,REDUCED,True,Dummy_SpeciesMean,19,4.26564560833166,2.779705163063569
