feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern52_NoARD,11,33,2.4163264920654908,1.655295028229303,2.631604400964471,1.5732591387212425,-19.80388237651203,29.800047002175397,2.8155713214018916,1.2478869709374016,0.7272727272727273,0.3892494720807615
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Compuesto_NoARD,11,33,2.024784837962031,1.3795976180341374,2.134881205184475,1.369932244881234,-9.043573772015636,11.43717628769088,3.4112414079565294,2.870199050219686,0.6666666666666666,0.39440531887330776
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern32_ARD,11,33,2.5200312943350536,2.133300287447155,2.679775359321335,2.0690580385786506,-21.225981118531408,31.550131452114087,3.6133632432784903,4.510710929298244,0.8181818181818182,0.34524182711820883
FULL_FEATURES,FCR,FCR,Dummy,11,31,0.29077656801983903,0.14893284373110122,0.3169790551342296,0.1666981772594003,-86.66528246705269,267.44299373784327,,,,
FULL_FEATURES,FCR,FCR,GP_Linear,11,31,0.313034187391793,0.14047651098715397,0.35435310872178494,0.16069128972969413,-132.7531814405212,415.7529450464591,0.7259368133398865,0.8069144510419706,0.7727272727272727,0.35176323534072423
FULL_FEATURES,FCR,FCR,GP_RBF_NoARD,11,31,0.2515277137273408,0.14152882430505406,0.28317847064560886,0.16188697831015228,-72.42335209508842,232.97161624539652,1.6245300167306396,2.3563676555036754,0.6212121212121212,0.4088663805838249
FULL_FEATURES,FCR,FCR,GP_Matern32_NoARD,11,31,0.25846505347889237,0.13742359336287036,0.2898803235618477,0.15682615239142278,-76.03791511075396,242.26538451653533,1.6389422514339076,1.8266878543401226,0.5757575757575757,0.38989768147579695
FULL_FEATURES,FCR,FCR,GP_Matern52_NoARD,11,31,0.26045563963888657,0.14828307042426414,0.29235069318322304,0.16516930982363026,-74.46613224312486,237.21162617128806,2.286282090402182,3.25646223188772,0.6212121212121212,0.4088663805838249
FULL_FEATURES,FCR,FCR,GP_Compuesto_NoARD,11,31,0.2447419519850575,0.12726874470683006,0.2781884382990458,0.1482001167558412,-74.12341808652624,238.26443197682272,3.869003481092339,4.651635047848724,0.45454545454545453,0.3340900501603746
FULL_FEATURES,FCR,FCR,GP_Matern52_ARD,11,31,0.28110721738161065,0.1511054879196591,0.3156514482904583,0.16534681063756404,-134.15239512156583,434.8716380238673,3.3779447408624987,6.827972111237299,0.7727272727272727,0.3186144245246149
FULL_FEATURES,TPC,TPC_larva_media,Dummy,11,33,0.07602881821296352,0.059793250250867076,0.07602881821296352,0.059793250250867076,-2.528457718142388e+28,8.385945549356491e+28,,,,
FULL_FEATURES,TPC,TPC_larva_media,GP_Linear,11,33,0.11988304752444132,0.07993079131785633,0.11988304752444132,0.07993079131785633,-2.3126474384581246e+29,7.670183825742129e+29,2.933830614140564,7.730016250222182,0.45454545454545453,0.5222329678670934
FULL_FEATURES,TPC,TPC_larva_media,GP_RBF_NoARD,11,33,0.06578873906098152,0.06510165439546876,0.06578873906098152,0.06510165439546876,-6.27583914302947e+27,2.0814603682054325e+28,-0.38657857339272056,3.253736471624773,0.9090909090909091,0.30151134457776363
FULL_FEATURES,TPC,TPC_larva_media,GP_Matern32_NoARD,11,33,0.07003088821179841,0.06232004278733683,0.07003088821179841,0.06232004278733683,-7.046097350828747e+27,2.336926114901613e+28,-0.3198595790276451,3.223671357764753,0.9090909090909091,0.30151134457776363
FULL_FEATURES,TPC,TPC_larva_media,GP_Matern52_NoARD,11,33,0.07035195600330058,0.06208891081672583,0.07035195600330058,0.06208891081672584,-7.054317152955859e+27,2.339652314852273e+28,-0.32265733161440374,3.2248381385681997,0.9090909090909091,0.30151134457776363
FULL_FEATURES,TPC,TPC_larva_media,GP_Compuesto_NoARD,11,33,0.08120004938450077,0.06584856037009122,0.08120004938450077,0.06584856037009124,-6.014272327978094e+27,1.9947084698920627e+28,0.25383819814961334,4.5499596166085645,0.9090909090909091,0.30151134457776363
FULL_FEATURES,TPC,TPC_larva_media,GP_RBF_ARD,11,33,0.06807319035311665,0.06639314347045737,0.06807319035311665,0.06639314347045737,-4.487227241321441e+27,1.4882449108524764e+28,1.1440350628595002,5.6233035286527135,0.6363636363636364,0.504524979109513
FULL_FEATURES,Quitina,QUITINA (%),Dummy,11,33,2.2927375204010363,1.942537363398528,2.499819604575578,1.9760855603477054,-15.237192341329331,26.70152365399144,,,,
FULL_FEATURES,Quitina,QUITINA (%),GP_Linear,11,33,2.249991538460047,2.0177152243899488,2.3877720515105043,2.1172154517818456,-15.927455861196677,28.659696129554888,3.218041184860499,3.0886170686690244,0.8484848484848485,0.3452418271182089
