target,objective,feature_mode,model,incumbent_diet,incumbent_value,candidate_name,byproduct_type,inclusion_pct,is_observed_pct,mu,sigma,ei,predicted_improvement
FCR,Minimizar FCR,FULL_FEATURES,GP_Compuesto_NoARD,Quinoa30,1.5432158751887648,Quinoa50,quinoa,50.0,True,1.8375494221067803,0.0764230886138938,5.907534609500742e-07,-0.2943335469180155
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja15,hoja,15.0,True,8.71923348791699,0.8489663689985799,3.687039479530045e-16,-6.599144158518341
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja16,hoja,16.0,False,8.785122990352425,0.829214672064637,1.5292963818311999e-16,-6.533254656082905
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja17,hoja,17.0,False,8.850907803831937,0.8109436698341776,6.782603301192861e-17,-6.467469842603393
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja18,hoja,18.0,False,8.91663902972345,0.7941668632112068,3.262710338346902e-17,-6.40173861671188
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja19,hoja,19.0,False,8.98235978900169,0.778909228065824,1.728735011398509e-17,-6.3360178574336405
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja20,hoja,20.0,False,9.048097711585283,0.765217028706291,1.0263426384837793e-17,-6.270279934850047
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja21,hoja,21.0,False,9.11386681210432,0.7531530879044096,6.953090506056717e-18,-6.2045108343310105
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja22,hoja,22.0,False,9.179671680861512,0.7427883756337662,5.472706704711332e-18,-6.138705965573818
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja23,hoja,23.0,False,9.245511336180869,0.7341942973268389,5.0868961505954565e-18,-6.0728663102544616
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja24,hoja,24.0,False,9.31138199816456,0.7274372528476903,5.658169845413004e-18,-6.00699564827077
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja25,hoja,25.0,False,9.377278784895294,0.7225759796143506,7.599442747752089e-18,-5.941098861540036
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja26,hoja,26.0,False,9.443196558341716,0.719661819481995,1.237480163983698e-17,-5.875181088093614
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja27,hoja,27.0,False,9.509130178487847,0.7187416801403235,2.4405290901114625e-17,-5.809247467947483
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja28,hoja,28.0,False,9.57507442084521,0.7198624557546471,5.794523697053052e-17,-5.74330322559012
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja29,hoja,29.0,False,9.64102387515786,0.7230730958837688,1.638705966600244e-16,-5.67735377127747
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja30,hoja,30.0,True,9.706973378674883,0.7284147764442083,5.432806660769706e-16,-5.611404267760447
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja31,hoja,31.0,False,9.768159365453462,0.7334400417660872,1.6053188665208434e-15,-5.550218280981868
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja32,hoja,32.0,False,9.82934384943592,0.7398007746079127,5.102161615096413e-15,-5.48903379699941
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja33,hoja,33.0,False,9.890528907938148,0.7474245349396788,1.7120932935536568e-14,-5.4278487384971825
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja34,hoja,34.0,False,9.951716813416784,0.7562359708594046,5.958575806663718e-14,-5.366660833018546
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja35,hoja,35.0,False,10.012909659465478,0.7661655242553479,2.11661864019989e-13,-5.305467986969852
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja36,hoja,36.0,False,10.074109350271355,0.7771508385816834,7.567585459307921e-13,-5.244268296163975
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja37,hoja,37.0,False,10.13531772360988,0.7891353996859037,2.690760229668447e-12,-5.18305992282545
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja38,hoja,38.0,False,10.196536693740372,0.8020665701396164,9.418431431258455e-12,-5.121840952694958
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja39,hoja,39.0,False,10.257768355457554,0.8158939271253924,3.217954133361657e-11,-5.0606092909777765
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja40,hoja,40.0,False,10.319015010989272,0.8305682127932541,1.0657639743428959e-10,-4.999362635446058
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja41,hoja,41.0,False,10.380279082350626,0.8460409599859052,3.402695054104709e-10,-4.938098564084704
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja42,hoja,42.0,False,10.441562861928437,0.8622647920026048,1.0428871884183219e-09,-4.876814784506893
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja43,hoja,43.0,False,10.502868040188249,0.8791944130047127,3.059142602401825e-09,-4.8155096062470815
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja44,hoja,44.0,False,10.564194939989923,0.8967883434201143,8.572051899487744e-09,-4.754182706445407
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja45,hoja,45.0,False,10.625541397333693,0.9150114583292798,2.2924554351992957e-08,-4.692836249101637
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja46,hoja,46.0,False,10.686901288209247,0.9338382831355786,5.8511904360186716e-08,-4.631476358226083
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja47,hoja,47.0,False,10.748262868084502,0.9532566632247623,1.4264220188709697e-07,-4.570114778350828
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja48,hoja,48.0,False,10.809607472630802,0.9732706226529182,3.325969666763865e-07,-4.508770173804528
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja49,hoja,49.0,False,10.8709099242223,0.9938995501867341,7.430857329859769e-07,-4.44746772221303
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Hoja50,hoja,50.0,True,10.932143556339378,1.0151675873123938,1.593739396827202e-06,-4.386234090095952
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo30,orujo,30.0,True,9.227782964350366,0.7939114887609763,7.702580382478993e-16,-6.090594682084964
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo31,orujo,31.0,False,9.28065571003349,0.7760621914702857,3.163116690485315e-16,-6.037721936401841
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo32,orujo,32.0,False,9.333562330151697,0.758896591254456,1.3063069996048299e-16,-5.984815316283633
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo33,orujo,33.0,False,9.38648851560106,0.7424222529000046,5.451394129008365e-17,-5.93188913083427
Quitina,Maximizar Quitina,REDUCED_FEATURES,GP_Compuesto_NoARD,Orujo70,15.31837764643533,Orujo34,orujo,34.0,False,9.439419635393305,0.7266486163362831,2.3113785462064038e-17,-5.878958011042025
