feature_mode,target,target_col,model,n_folds,n_samples,mae_macro_mean,mae_macro_std,rmse_macro_mean,rmse_macro_std,r2_macro_mean,r2_macro_std,nlpd_macro_mean,nlpd_macro_std,coverage_95_macro_mean,coverage_95_macro_std
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Matern32_NoARD,11,33,1.9935138958025247,1.633290227085975,2.0905653681536607,1.6253584296447814,-18.142224018302535,35.272576335473744,2.5224256273078303,1.6790527347878828,0.8484848484848484,0.34524182711820883
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Matern52_NoARD,11,33,1.9927936016836687,1.6276102635143945,2.092987016934179,1.6210847064443532,-18.494958445941872,36.48573329192729,2.5441515247930457,1.7519173517962676,0.8181818181818182,0.34524182711820883
REDUCED_FEATURES,Quitina,QUITINA (%),GP_Compuesto_NoARD,11,33,1.9392403605553512,1.6823962066131968,2.0840040292189603,1.7893111707578997,-10.685890066663136,18.398664795217123,2.9350710542601606,2.5048022603460116,0.6969696969696969,0.4070092943122622
REDUCED_FEATURES,Quitina,QUITINA (%),GP_RBF_ARD,11,33,2.709081745718621,1.5849102451287185,2.840068433016113,1.578450327114922,-32.98121248220598,67.94204155431679,4.279640792693995,3.5282601832607896,0.5454545454545454,0.47778952299399396
REDUCED_FEATURES,Proteina,PROTEINA (%),Dummy,11,33,3.0836443066377295,1.8268317644182432,3.217431804553174,1.8155119266723894,-34.270012620217024,49.72746595307042,,,,
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Linear,11,33,2.426369778098973,1.5572868992038886,2.5065182394012164,1.5676470112466159,-14.318442687255965,20.57651582422891,2.841818226676821,1.140631482902823,0.7272727272727273,0.3892494720807615
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_RBF_NoARD,11,33,2.463142919409942,1.635631925304496,2.690868392793755,1.5372255863643423,-20.615514738737218,29.254518972070258,2.8402232717065994,1.3316917030703976,0.7878787878787878,0.3423035453683137
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern32_NoARD,11,33,2.4161999500136733,1.6680146382034924,2.619408687353968,1.5984786454220403,-19.922618235639575,30.757510343355275,2.759842670088384,1.1617390244539882,0.7575757575757575,0.33634998607300864
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Matern52_NoARD,11,33,2.416325961594994,1.6552957195309836,2.6316034936828157,1.5732600605327196,-19.80388091355666,29.800048260345942,2.815638426301021,1.247853719954122,0.7272727272727273,0.3892494720807615
REDUCED_FEATURES,Proteina,PROTEINA (%),GP_Compuesto_NoARD,11,33,2.024781611353363,1.379599223538583,2.1348778617025865,1.369934298078817,-9.043539478796268,11.437173233779491,3.417774893174371,2.8734837090645264,0.6666666666666666,0.39440531887330776
